Scenario,Mode,Fuel,2020,2025,2030,2040,2050
MLL,Sea,Hydrogen,0,0,0,0,0
MLL,Sea,Ammonia,0,0,3,6,10
MLL,Sea,Biodiesel (HVO),0,0,2,3.5,5
MLL,Sea,Biogas,0,0,2,3.5,5
MLL,Rail,Diesel,100,100,100,100,100
MLL,Rail,Electric train (CL),100,100,100,100,100
MLL,Rail,Battery train,0,0,10,15,20
MLL,Rail,Hydrogen,0,0,0,0,0
MLL,Rail,Biodiesel,0,0,0,0,0
LHH,Road,Diesel,100,100,100,100,100
LHH,Road,Battery electric,0.2,2,5,12,20
LHH,Road,Hydrogen,0,0,10,25,50
LHH,Road,Biodiesel,5,6,10,20,30
LHH,Road,Biogas,0,1,5,10,20
LHH,Sea,HFO,100,100,100,100,100
LHH,Sea,MGO,100,100,100,100,100
LHH,Sea,LNG,10,20,30,30,50
LHH,Sea,Hydrogen,0,0,5,12,30
LHH,Sea,Ammonia,0,0,7,30,50
LHH,Sea,Biodiesel (HVO),0,0,5,10,20
LHH,Sea,Biogas,0,0,5,10,20
LHH,Rail,Diesel,100,100,100,100,100
LHH,Rail,Electric train (CL),100,100,100,100,100
LHH,Rail,Battery train,0,0,2,5,10
LHH,Rail,Hydrogen,0,0,2,6,10
LHH,Rail,Biodiesel,0,0,5,10,20
LHM,Road,Diesel,100,100,100,100,100
LHM,Road,Battery electric,0.2,2,5,12,20
LHM,Road,Hydrogen,0,0,10,25,50
LHM,Road,Biodiesel,5,6,10,15,20
LHM,Road,Biogas,0,1,4,7,10
LHM,Sea,HFO,100,100,100,100,100
LHM,Sea,MGO,100,100,100,100,100
LHM,Sea,LNG,10,20,30,30,50
LHM,Sea,Hydrogen,0,0,5,12,30
LHM,Sea,Ammonia,0,0,7,30,50
LHM,Sea,Biodiesel (HVO),0,0,2,6,10
LHM,Sea,Biogas,0,0,2,6,10
LHM,Rail,Diesel,100,100,100,100,100
LHM,Rail,Electric train (CL),100,100,100,100,100
LHM,Rail,Battery train,0,0,2,5,10
LHM,Rail,Hydrogen,0,0,2,6,10
LHM,Rail,Biodiesel,0,0,2,6,10
LHL,Road,Diesel,100,100,100,100,100
LHL,Road,Battery electric,0.2,2,5,12,20
LHL,Road,Hydrogen,0,0,10,25,50
LHL,Road,Biodiesel,5,6,7,8.5,10
LHL,Road,Biogas,0,1,2,3.5,5
LHL,Sea,HFO,100,100,100,100,100
LHL,Sea,MGO,100,100,100,100,100
LHL,Sea,LNG,10,20,30,30,50
LHL,Sea,Hydrogen,0,0,5,12,30
LHL,Sea,Ammonia,0,0,7,30,50
LHL,Sea,Biodiesel (HVO),0,0,2,3.5,5
LHL,Sea,Biogas,0,0,2,3.5,5
LHL,Rail,Diesel,100,100,100,100,100
LHL,Rail,Electric train (CL),100,100,100,100,100
LHL,Rail,Battery train,0,0,2,5,10
LHL,Rail,Hydrogen,0,0,2,6,10
LHL,Rail,Biodiesel,0,0,0,0,0
LMH,Road,Diesel,100,100,100,100,100
LMH,Road,Battery electric,0.2,2,5,12,20
LMH,Road,Hydrogen,0,0,5,15,25
LMH,Road,Biodiesel,5,6,10,20,30
LMH,Road,Biogas,0,1,5,10,20
LMH,Sea,HFO,100,100,100,100,100
LMH,Sea,MGO,100,100,100,100,100
LMH,Sea,LNG,10,20,30,30,50
LMH,Sea,Hydrogen,0,0,2,6,10
LMH,Sea,Ammonia,0,0,3,12,25
LMH,Sea,Biodiesel (HVO),0,0,5,10,20
LMH,Sea,Biogas,0,0,5,10,20
LMH,Rail,Diesel,100,100,100,100,100
LMH,Rail,Electric train (CL),100,100,100,100,100
LMH,Rail,Battery train,0,0,2,5,10
LMH,Rail,Hydrogen,0,0,1,3,5
LMH,Rail,Biodiesel,0,0,5,10,20
LMM,Road,Diesel,100,100,100,100,100
LMM,Road,Battery electric,0.2,2,5,12,20
LMM,Road,Hydrogen,0,0,5,15,25
LMM,Road,Biodiesel,5,6,10,15,20
LMM,Road,Biogas,0,1,4,7,10
LMM,Sea,HFO,100,100,100,100,100
LMM,Sea,MGO,100,100,100,100,100
LMM,Sea,LNG,10,20,30,30,50
LMM,Sea,Hydrogen,0,0,2,6,10
LMM,Sea,Ammonia,0,0,3,12,25
LMM,Sea,Biodiesel (HVO),0,0,2,6,10
LMM,Sea,Biogas,0,0,2,6,10
LMM,Rail,Diesel,100,100,100,100,100
LMM,Rail,Electric train (CL),100,100,100,100,100
LMM,Rail,Battery train,0,0,2,5,10
LMM,Rail,Hydrogen,0,0,1,3,5
LMM,Rail,Biodiesel,0,0,2,6,10
LML,Road,Diesel,100,100,100,100,100
LML,Road,Battery electric,0.2,2,5,12,20
LML,Road,Hydrogen,0,0,5,15,25
LML,Road,Biodiesel,5,6,7,8.5,10
LML,Road,Biogas,0,1,2,3.5,5
LML,Sea,HFO,100,100,100,100,100
LML,Sea,MGO,100,100,100,100,100
LML,Sea,LNG,10,20,30,30,50
LML,Sea,Hydrogen,0,0,2,6,10
LML,Sea,Ammonia,0,0,3,12,25
LML,Sea,Biodiesel (HVO),0,0,2,3.5,5
LML,Sea,Biogas,0,0,2,3.5,5
LML,Rail,Diesel,100,100,100,100,100
LML,Rail,Electric train (CL),100,100,100,100,100
LML,Rail,Battery train,0,0,2,5,10
LML,Rail,Hydrogen,0,0,1,3,5
LML,Rail,Biodiesel,0,0,0,0,0
LLH,Road,Diesel,100,100,100,100,100
LLH,Road,Battery electric,0.2,2,5,12,20
LLH,Road,Hydrogen,0,0,0,1,2
LLH,Road,Biodiesel,5,6,10,20,30
LLH,Road,Biogas,0,1,5,10,20
LLH,Sea,HFO,100,100,100,100,100
LLH,Sea,MGO,100,100,100,100,100
LLH,Sea,LNG,10,20,30,30,50
LLH,Sea,Hydrogen,0,0,0,0,0
LLH,Sea,Ammonia,0,0,3,6,10
LLH,Sea,Biodiesel (HVO),0,0,5,10,20
LLH,Sea,Biogas,0,0,5,10,20
LLH,Rail,Diesel,100,100,100,100,100
LLH,Rail,Electric train (CL),100,100,100,100,100
LLH,Rail,Battery train,0,0,2,5,10
LLH,Rail,Hydrogen,0,0,0,0,0
LLH,Rail,Biodiesel,0,0,5,10,20
LLM,Road,Diesel,100,100,100,100,100
LLM,Road,Battery electric,0.2,2,5,12,20
LLM,Road,Hydrogen,0,0,0,1,2
LLM,Road,Biodiesel,5,6,10,15,20
LLM,Road,Biogas,0,1,4,7,10
LLM,Sea,HFO,100,100,100,100,100
LLM,Sea,MGO,100,100,100,100,100
LLM,Sea,LNG,10,20,30,30,50
LLM,Sea,Hydrogen,0,0,0,0,0
LLM,Sea,Ammonia,0,0,3,6,10
LLM,Sea,Biodiesel (HVO),0,0,2,6,10
LLM,Sea,Biogas,0,0,2,6,10
LLM,Rail,Diesel,100,100,100,100,100
LLM,Rail,Electric train (CL),100,100,100,100,100
LLM,Rail,Battery train,0,0,2,5,10
LLM,Rail,Hydrogen,0,0,0,0,0
LLM,Rail,Biodiesel,0,0,2,6,10
LLL,Road,Diesel,100,100,100,100,100
LLL,Road,Battery electric,0.2,2,5,12,20
LLL,Road,Hydrogen,0,0,0,1,2
LLL,Road,Biodiesel,5,6,7,8.5,10
LLL,Road,Biogas,0,1,2,3.5,5
LLL,Sea,HFO,100,100,100,100,100
LLL,Sea,MGO,100,100,100,100,100
LLL,Sea,LNG,10,20,30,30,50
LLL,Sea,Hydrogen,0,0,0,0,0
LLL,Sea,Ammonia,0,0,3,6,10
LLL,Sea,Biodiesel (HVO),0,0,2,3.5,5
LLL,Sea,Biogas,0,0,2,3.5,5
LLL,Rail,Diesel,100,100,100,100,100
LLL,Rail,Electric train (CL),100,100,100,100,100
LLL,Rail,Battery train,0,0,2,5,10
LLL,Rail,Hydrogen,0,0,0,0,0
LLL,Rail,Biodiesel,0,0,0,0,0


**Processexited-ReturnCode:0**
PressEntertoexitterminal
