,paths
244,"[('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Ålesund', 'Road', 1)]"
245,"[('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Ålesund', 'Road', 1), ('Ålesund', 'Bergen', 'Road', 1), ('Bergen', 'Stavanger', 'Road', 1)]"
246,"[('Bodø', 'Nord-Sverige', 'Road', 1), ('Nord-Sverige', 'Sør-Sverige', 'Road', 1)]"
247,"[('Bodø', 'Nord-Sverige', 'Road', 1), ('Nord-Sverige', 'Sør-Sverige', 'Road', 1), ('Sør-Sverige', 'Europa', 'Road', 1)]"
248,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Hamar', 'Road', 1), ('Hamar', 'Oslo', 'Road', 1)]"
249,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Ålesund', 'Road', 1), ('Ålesund', 'Bergen', 'Road', 1)]"
250,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Trondheim', 'Road', 1)]"
251,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Hamar', 'Road', 1)]"
252,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Hamar', 'Road', 1), ('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Road', 1), ('Skien', 'Kristiansand', 'Road', 1)]"
253,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Hamar', 'Road', 1), ('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Road', 1)]"
254,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Ålesund', 'Road', 1)]"
255,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Trondheim', 'Road', 1), ('Trondheim', 'Ålesund', 'Road', 1), ('Ålesund', 'Bergen', 'Road', 1), ('Bergen', 'Stavanger', 'Road', 1)]"
